run,arm,kappa,alpha,beta,target,cascade,effects,novelty,G-base,G,posterior
1789964661,fixed-recorded-G,0,1,1,M-aif-policy-conditioned-eig,C1,1,0.1931471805599453,15.170069253169533,15.170069253169533,0.3336188600826242
1789964661,fixed-recorded-G,0,1,1,M-f11-find-production-successor,C1,1,0.1931471805599453,15.171332462691225,15.171332462691225,0.333197695627431
1789964661,fixed-recorded-G,0,1,1,M-wm-08-external-f2,C1,0,0.0,15.171375235022659,15.171375235022659,0.3331834442899445
1789964661,fixed-recorded-G,1,1,1,M-aif-policy-conditioned-eig,C1,1,0.1931471805599453,15.170069253169533,14.976922072609588,0.35435580745808587
1789964661,fixed-recorded-G,1,1,1,M-f11-find-production-successor,C1,1,0.1931471805599453,15.171332462691225,14.97818528213128,0.35390846443150853
1789964661,fixed-recorded-G,1,1,1,M-wm-08-external-f2,C1,0,0.0,15.171375235022659,15.171375235022659,0.29173572811040477
1789964661,factorized-attempt-endpoint,0,1,1,M-aif-policy-conditioned-eig,C1,1,0.1931471805599453,14.47757506353615,14.47757506353615,0.4001533058106071
1789964661,factorized-attempt-endpoint,0,1,1,M-f11-find-production-successor,C1,1,0.1931471805599453,14.478206668296998,14.478206668296998,0.3999006468762803
1789964661,factorized-attempt-endpoint,0,1,1,M-wm-08-external-f2,C1,0,0.0,15.171375235022659,15.171375235022659,0.19994604731311313
1789964661,factorized-attempt-endpoint,1,1,1,M-aif-policy-conditioned-eig,C1,1,0.1931471805599453,14.47757506353615,14.284427882976205,0.41471752020971986
1789964661,factorized-attempt-endpoint,1,1,1,M-f11-find-production-successor,C1,1,0.1931471805599453,14.478206668296998,14.285059487737053,0.41445566535264056
1789964661,factorized-attempt-endpoint,1,1,1,M-wm-08-external-f2,C1,0,0.0,15.171375235022659,15.171375235022659,0.17082681443764008
1789964661,fixed-recorded-G,0,9,1,M-aif-policy-conditioned-eig,C1,1,0.042186147994622836,15.170069253169533,15.170069253169533,0.3336188600826242
1789964661,fixed-recorded-G,0,9,1,M-f11-find-production-successor,C1,1,0.042186147994622836,15.171332462691225,15.171332462691225,0.333197695627431
1789964661,fixed-recorded-G,0,9,1,M-wm-08-external-f2,C1,0,0.0,15.171375235022659,15.171375235022659,0.3331834442899445
1789964661,fixed-recorded-G,1,9,1,M-aif-policy-conditioned-eig,C1,1,0.042186147994622836,15.170069253169533,15.12788310517491,0.3382746604492026
1789964661,fixed-recorded-G,1,9,1,M-f11-find-production-successor,C1,1,0.042186147994622836,15.171332462691225,15.129146314696602,0.337847618455718
1789964661,fixed-recorded-G,1,9,1,M-wm-08-external-f2,C1,0,0.0,15.171375235022659,15.171375235022659,0.32387772109508
1789964661,factorized-attempt-endpoint,0,9,1,M-aif-policy-conditioned-eig,C1,1,0.042186147994622836,14.845116877963399,14.845116877963399,0.3675818555462051
1789964661,factorized-attempt-endpoint,0,9,1,M-f11-find-production-successor,C1,1,0.042186147994622836,14.846253766532922,14.846253766532922,0.3671641933989175
1789964661,factorized-attempt-endpoint,0,9,1,M-wm-08-external-f2,C1,0,0.0,15.171375235022659,15.171375235022659,0.26525395105487753
1789964661,factorized-attempt-endpoint,1,9,1,M-aif-policy-conditioned-eig,C1,1,0.042186147994622836,14.845116877963399,14.802930729968775,0.37165417982051724
1789964661,factorized-attempt-endpoint,1,9,1,M-f11-find-production-successor,C1,1,0.042186147994622836,14.846253766532922,14.804067618538298,0.3712318905250851
1789964661,factorized-attempt-endpoint,1,9,1,M-wm-08-external-f2,C1,0,0.0,15.171375235022659,15.171375235022659,0.2571139296543985
1789964661,fixed-recorded-G,0,90,10,M-aif-policy-conditioned-eig,C1,1,0.004915823712317441,15.170069253169533,15.170069253169533,0.3336188600826242
1789964661,fixed-recorded-G,0,90,10,M-f11-find-production-successor,C1,1,0.004915823712317441,15.171332462691225,15.171332462691225,0.333197695627431
1789964661,fixed-recorded-G,0,90,10,M-wm-08-external-f2,C1,0,0.0,15.171375235022659,15.171375235022659,0.3331834442899445
1789964661,fixed-recorded-G,1,90,10,M-aif-policy-conditioned-eig,C1,1,0.004915823712317441,15.170069253169533,15.165153429457217,0.3341648359420164
1789964661,fixed-recorded-G,1,90,10,M-f11-find-production-successor,C1,1,0.004915823712317441,15.171332462691225,15.166416638978909,0.333742982240342
1789964661,fixed-recorded-G,1,90,10,M-wm-08-external-f2,C1,0,0.0,15.171375235022659,15.171375235022659,0.3320921818176423
1789964661,factorized-attempt-endpoint,0,90,10,M-aif-policy-conditioned-eig,C1,1,0.004915823712317441,14.845116877963399,14.845116877963399,0.3675818555462051
1789964661,factorized-attempt-endpoint,0,90,10,M-f11-find-production-successor,C1,1,0.004915823712317441,14.846253766532922,14.846253766532922,0.3671641933989175
1789964661,factorized-attempt-endpoint,0,90,10,M-wm-08-external-f2,C1,0,0.0,15.171375235022659,15.171375235022659,0.26525395105487753
1789964661,factorized-attempt-endpoint,1,90,10,M-aif-policy-conditioned-eig,C1,1,0.004915823712317441,14.845116877963399,14.840201054251082,0.36806060741250446
1789964661,factorized-attempt-endpoint,1,90,10,M-f11-find-production-successor,C1,1,0.004915823712317441,14.846253766532922,14.841337942820605,0.36764240128697234
1789964661,factorized-attempt-endpoint,1,90,10,M-wm-08-external-f2,C1,0,0.0,15.171375235022659,15.171375235022659,0.26429699130052403
1789952479,fixed-recorded-G,0,1,1,M-expressions-of-interest,C1,2,0.3862943611198906,170.558868022824,170.558868022824,0.16708451675852062
1789952479,fixed-recorded-G,0,1,1,M-expressions-of-interest,C2,2,0.3862943611198906,170.558868022824,170.558868022824,0.033416903351704504
1789952479,fixed-recorded-G,0,1,1,M-dionysus-winddown,C0,0,0.0,170.56199895748495,170.56199895748495,0.09993732248622186
1789952479,fixed-recorded-G,0,1,1,M-daily-scan,C0,0,0.0,170.56199895748495,170.56199895748495,0.0333124408287407
1789952479,fixed-recorded-G,0,1,1,M-distributed-frontiermath,C0,0,0.0,170.56199895748495,170.56199895748495,0.0333124408287407
1789952479,fixed-recorded-G,0,1,1,M-G-wm-wiring,C0,0,0.0,170.56199895748495,170.56199895748495,0.0333124408287407
1789952479,fixed-recorded-G,0,1,1,M-f11-find-production-successor,C0,0,0.0,170.56199895748495,170.56199895748495,0.0333124408287407
1789952479,fixed-recorded-G,0,1,1,M-kangaroo,C0,0,0.0,170.56199895748495,170.56199895748495,0.0333124408287407
1789952479,fixed-recorded-G,0,1,1,M-chipwitz-corps,C0,0,0.0,170.56199895748495,170.56199895748495,0.0333124408287407
1789952479,fixed-recorded-G,0,1,1,M-expressions-of-interest,C0,0,0.0,170.56199895748495,170.56199895748495,0.0333124408287407
1789952479,fixed-recorded-G,0,1,1,M-wm-aif-policy-grain-compliance,C0,0,0.0,170.56199895748495,170.56199895748495,0.0333124408287407
1789952479,fixed-recorded-G,0,1,1,M-canon-fingerprint-store,C0,0,0.0,170.56199895748495,170.56199895748495,0.0333124408287407
1789952479,fixed-recorded-G,0,1,1,M-self-documenting-stack,C0,0,0.0,170.56199895748495,170.56199895748495,0.0333124408287407
1789952479,fixed-recorded-G,0,1,1,M-apm-capability-ratchet,C0,0,0.0,170.56199895748495,170.56199895748495,0.0333124408287407
1789952479,fixed-recorded-G,0,1,1,M-usage-hacking,C0,0,0.0,170.56199895748495,170.56199895748495,0.0333124408287407
1789952479,fixed-recorded-G,0,1,1,M-futonzero-mvp,C0,0,0.0,170.56199895748495,170.56199895748495,0.0333124408287407
1789952479,fixed-recorded-G,0,1,1,M-action-cost-modelling,C0,0,0.0,170.56199895748495,170.56199895748495,0.0333124408287407
1789952479,fixed-recorded-G,0,1,1,M-aif4iad,C0,0,0.0,170.56199895748495,170.56199895748495,0.0333124408287407
1789952479,fixed-recorded-G,0,1,1,M-federated-agency-hardening,C0,0,0.0,170.56199895748495,170.56199895748495,0.0333124408287407
1789952479,fixed-recorded-G,0,1,1,M-futonzero-generative,C0,0,0.0,170.56199895748495,170.56199895748495,0.0333124408287407
1789952479,fixed-recorded-G,0,1,1,M-aif-policy-conditioned-eig,C0,0,0.0,170.56199895748495,170.56199895748495,0.0333124408287407
1789952479,fixed-recorded-G,0,1,1,M-futon-forward-model,C0,0,0.0,170.56199895748495,170.56199895748495,0.0333124408287407
1789952479,fixed-recorded-G,0,1,1,M-wm-08-external-f2,C0,0,0.0,170.56199895748495,170.56199895748495,0.0333124408287407
1789952479,fixed-recorded-G,0,1,1,M-wm-08-external-f2,C1,0,0.0,170.56199895748495,170.56199895748495,0.0333124408287407
1789952479,fixed-recorded-G,1,1,1,M-expressions-of-interest,C1,2,0.3862943611198906,170.558868022824,170.1725736617041,0.2246312046944348
1789952479,fixed-recorded-G,1,1,1,M-expressions-of-interest,C2,2,0.3862943611198906,170.558868022824,170.1725736617041,0.04492624093888747
1789952479,fixed-recorded-G,1,1,1,M-dionysus-winddown,C0,0,0.0,170.56199895748495,170.56199895748495,0.09130531929583575
1789952479,fixed-recorded-G,1,1,1,M-daily-scan,C0,0,0.0,170.56199895748495,170.56199895748495,0.030435106431945323
1789952479,fixed-recorded-G,1,1,1,M-distributed-frontiermath,C0,0,0.0,170.56199895748495,170.56199895748495,0.030435106431945323
1789952479,fixed-recorded-G,1,1,1,M-G-wm-wiring,C0,0,0.0,170.56199895748495,170.56199895748495,0.030435106431945323
1789952479,fixed-recorded-G,1,1,1,M-f11-find-production-successor,C0,0,0.0,170.56199895748495,170.56199895748495,0.030435106431945323
1789952479,fixed-recorded-G,1,1,1,M-kangaroo,C0,0,0.0,170.56199895748495,170.56199895748495,0.030435106431945323
1789952479,fixed-recorded-G,1,1,1,M-chipwitz-corps,C0,0,0.0,170.56199895748495,170.56199895748495,0.030435106431945323
1789952479,fixed-recorded-G,1,1,1,M-expressions-of-interest,C0,0,0.0,170.56199895748495,170.56199895748495,0.030435106431945323
1789952479,fixed-recorded-G,1,1,1,M-wm-aif-policy-grain-compliance,C0,0,0.0,170.56199895748495,170.56199895748495,0.030435106431945323
1789952479,fixed-recorded-G,1,1,1,M-canon-fingerprint-store,C0,0,0.0,170.56199895748495,170.56199895748495,0.030435106431945323
1789952479,fixed-recorded-G,1,1,1,M-self-documenting-stack,C0,0,0.0,170.56199895748495,170.56199895748495,0.030435106431945323
1789952479,fixed-recorded-G,1,1,1,M-apm-capability-ratchet,C0,0,0.0,170.56199895748495,170.56199895748495,0.030435106431945323
1789952479,fixed-recorded-G,1,1,1,M-usage-hacking,C0,0,0.0,170.56199895748495,170.56199895748495,0.030435106431945323
1789952479,fixed-recorded-G,1,1,1,M-futonzero-mvp,C0,0,0.0,170.56199895748495,170.56199895748495,0.030435106431945323
1789952479,fixed-recorded-G,1,1,1,M-action-cost-modelling,C0,0,0.0,170.56199895748495,170.56199895748495,0.030435106431945323
1789952479,fixed-recorded-G,1,1,1,M-aif4iad,C0,0,0.0,170.56199895748495,170.56199895748495,0.030435106431945323
1789952479,fixed-recorded-G,1,1,1,M-federated-agency-hardening,C0,0,0.0,170.56199895748495,170.56199895748495,0.030435106431945323
1789952479,fixed-recorded-G,1,1,1,M-futonzero-generative,C0,0,0.0,170.56199895748495,170.56199895748495,0.030435106431945323
1789952479,fixed-recorded-G,1,1,1,M-aif-policy-conditioned-eig,C0,0,0.0,170.56199895748495,170.56199895748495,0.030435106431945323
1789952479,fixed-recorded-G,1,1,1,M-futon-forward-model,C0,0,0.0,170.56199895748495,170.56199895748495,0.030435106431945323
1789952479,fixed-recorded-G,1,1,1,M-wm-08-external-f2,C0,0,0.0,170.56199895748495,170.56199895748495,0.030435106431945323
1789952479,fixed-recorded-G,1,1,1,M-wm-08-external-f2,C1,0,0.0,170.56199895748495,170.56199895748495,0.030435106431945323
1789952479,factorized-attempt-endpoint,0,1,1,M-expressions-of-interest,C1,2,0.3862943611198906,169.17413912903447,169.17413912903447,0.4169928056272426
