
================================================================================
TASK 3: MULTI-MISSION ROBUSTNESS — lambda=4, steps=3000
================================================================================

--- mission=M-self-documenting-stack ---
  Training: target=M-self-documenting-stack, lambda=4, steps=3000...
/home/joe/code/gflownet/.venv/lib/python3.12/site-packages/torch/_compile.py:32: UserWarning: optimizer contains a parameter group with duplicate parameters; in future, this will cause an error; see github.com/pytorch/pytorch/issues/40967 for more information
  return disable_fn(*args, **kwargs)
	Important: offline trajectories will NOT be sampled. In order to  sample offline trajectories, the train configuration of the buffer  should be provided.
	Important: test metrics will NOT be computed. In order to compute test metrics, the test configuration of the buffer should be provided.

  0%|          | 0/3000 [00:00<?, ?it/s]
Loss: 529.1333 | Mean rewards: 1084.33 | JSD: -1.0000:   1%|          | 23/3000 [00:10<23:17,  2.13it/s]
Loss: 529.1333 | Mean rewards: 1084.33 | JSD: -1.0000:   1%|          | 24/3000 [00:10<21:41,  2.29it/s]
Loss: 529.8656 | Mean rewards: 133.71 | JSD: -1.0000:   1%|          | 24/3000 [00:10<21:41,  2.29it/s] 
Loss: 529.8656 | Mean rewards: 133.71 | JSD: -1.0000:   1%|          | 25/3000 [00:11<21:45,  2.28it/s]
Loss: 528.3505 | Mean rewards: 1182.03 | JSD: -1.0000:   1%|          | 25/3000 [00:11<21:45,  2.28it/s]
Loss: 528.3505 | Mean rewards: 1182.03 | JSD: -1.0000:   1%|          | 26/3000 [00:11<23:39,  2.10it/s]
Loss: 528.0116 | Mean rewards: 1055.17 | JSD: -1.0000:   1%|          | 26/3000 [00:11<23:39,  2.10it/s]
Loss: 528.0116 | Mean rewards: 1055.17 | JSD: -1.0000:   1%|          | 27/3000 [00:12<24:51,  1.99it/s]
Loss: 527.3904 | Mean rewards: 1115.16 | JSD: -1.0000:   1%|          | 27/3000 [00:12<24:51,  1.99it/s]
Loss: 527.3904 | Mean rewards: 1115.16 | JSD: -1.0000:   1%|          | 28/3000 [00:12<27:57,  1.77it/s]
Loss: 527.4979 | Mean rewards: 973.63 | JSD: -1.0000:   1%|          | 28/3000 [00:12<27:57,  1.77it/s] 
Loss: 527.4979 | Mean rewards: 973.63 | JSD: -1.0000:   1%|          | 29/3000 [00:13<26:22,  1.88it/s]
Loss: 526.2064 | Mean rewards: 1899.62 | JSD: -1.0000:   1%|          | 29/3000 [00:13<26:22,  1.88it/s]
Loss: 526.2064 | Mean rewards: 1899.62 | JSD: -1.0000:   1%|          | 30/3000 [00:13<27:09,  1.82it/s]
Loss: 525.3733 | Mean rewards: 721.07 | JSD: -1.0000:   1%|          | 30/3000 [00:13<27:09,  1.82it/s] 
Loss: 525.3733 | Mean rewards: 721.07 | JSD: -1.0000:   1%|          | 31/3000 [00:14<24:45,  2.00it/s]
Loss: 524.6282 | Mean rewards: 1444.15 | JSD: -1.0000:   1%|          | 31/3000 [00:14<24:45,  2.00it/s]
Loss: 524.6282 | Mean rewards: 1444.15 | JSD: -1.0000:   1%|          | 32/3000 [00:14<26:14,  1.88it/s]
Loss: 524.4875 | Mean rewards: 930.85 | JSD: -1.0000:   1%|          | 32/3000 [00:14<26:14,  1.88it/s] 
Loss: 524.4875 | Mean rewards: 930.85 | JSD: -1.0000:   1%|          | 33/3000 [00:15<33:29,  1.48it/s]
Loss: 524.5497 | Mean rewards: 1004.30 | JSD: -1.0000:   1%|          | 33/3000 [00:15<33:29,  1.48it/s]
Loss: 524.5497 | Mean rewards: 1004.30 | JSD: -1.0000:   1%|          | 34/3000 [00:16<35:36,  1.39it/s]
Loss: 524.4085 | Mean rewards: 3324.38 | JSD: -1.0000:   1%|          | 34/3000 [00:16<35:36,  1.39it/s]
Loss: 524.4085 | Mean rewards: 3324.38 | JSD: -1.0000:   1%|          | 35/3000 [00:17<32:49,  1.51it/s]
Loss: 524.4410 | Mean rewards: 645.64 | JSD: -1.0000:   1%|          | 35/3000 [00:17<32:49,  1.51it/s] 
Loss: 524.4410 | Mean rewards: 645.64 | JSD: -1.0000:   1%|          | 36/3000 [00:17<28:31,  1.73it/s]
Loss: 524.1699 | Mean rewards: 741.99 | JSD: -1.0000:   1%|          | 36/3000 [00:17<28:31,  1.73it/s]
Loss: 524.1699 | Mean rewards: 741.99 | JSD: -1.0000:   1%|          | 37/3000 [00:17<23:47,  2.08it/s]
Loss: 524.4856 | Mean rewards: 943.85 | JSD: -1.0000:   1%|          | 37/3000 [00:17<23:47,  2.08it/s]
Loss: 524.4856 | Mean rewards: 943.85 | JSD: -1.0000:   1%|▏         | 38/3000 [00:18<24:33,  2.01it/s]
