================================================================================
TASK 2: LAMBDA SWEEP — target=M-self-documenting-stack, steps=3000
================================================================================

--- lambda=1 ---
  Training: target=M-self-documenting-stack, lambda=1, steps=3000...
/home/joe/code/gflownet/.venv/lib/python3.12/site-packages/torch/_compile.py:32: UserWarning: optimizer contains a parameter group with duplicate parameters; in future, this will cause an error; see github.com/pytorch/pytorch/issues/40967 for more information
  return disable_fn(*args, **kwargs)
	Important: offline trajectories will NOT be sampled. In order to  sample offline trajectories, the train configuration of the buffer  should be provided.
	Important: test metrics will NOT be computed. In order to compute test metrics, the test configuration of the buffer should be provided.

  0%|          | 0/3000 [00:00<?, ?it/s]
Loss: 553.5284 | Mean rewards: 1208.50 | JSD: -1.0000:   1%|          | 26/3000 [00:03<07:09,  6.93it/s]
Loss: 551.5041 | Mean rewards: 895.16 | JSD: -1.0000:   1%|          | 26/3000 [00:03<07:09,  6.93it/s] 
Loss: 551.5041 | Mean rewards: 895.16 | JSD: -1.0000:   1%|          | 27/3000 [00:03<10:43,  4.62it/s]
Loss: 550.6653 | Mean rewards: 284.66 | JSD: -1.0000:   1%|          | 27/3000 [00:03<10:43,  4.62it/s]
Loss: 550.6653 | Mean rewards: 284.66 | JSD: -1.0000:   1%|          | 28/3000 [00:03<09:43,  5.09it/s]
Loss: 549.7798 | Mean rewards: 2623.78 | JSD: -1.0000:   1%|          | 28/3000 [00:03<09:43,  5.09it/s]
Loss: 549.7798 | Mean rewards: 2623.78 | JSD: -1.0000:   1%|          | 29/3000 [00:04<08:27,  5.85it/s]
Loss: 549.6762 | Mean rewards: 210.38 | JSD: -1.0000:   1%|          | 29/3000 [00:04<08:27,  5.85it/s] 
Loss: 549.6762 | Mean rewards: 210.38 | JSD: -1.0000:   1%|          | 30/3000 [00:04<07:35,  6.52it/s]
Loss: 549.5076 | Mean rewards: 242.63 | JSD: -1.0000:   1%|          | 30/3000 [00:04<07:35,  6.52it/s]
Loss: 549.2851 | Mean rewards: 208.10 | JSD: -1.0000:   1%|          | 31/3000 [00:04<07:35,  6.52it/s]
Loss: 549.2851 | Mean rewards: 208.10 | JSD: -1.0000:   1%|          | 32/3000 [00:04<06:16,  7.88it/s]
Loss: 549.7892 | Mean rewards: 167.21 | JSD: -1.0000:   1%|          | 32/3000 [00:04<06:16,  7.88it/s]
Loss: 549.7892 | Mean rewards: 167.21 | JSD: -1.0000:   1%|          | 33/3000 [00:04<06:03,  8.17it/s]
Loss: 548.4772 | Mean rewards: 611.06 | JSD: -1.0000:   1%|          | 33/3000 [00:04<06:03,  8.17it/s]
Loss: 548.4772 | Mean rewards: 611.06 | JSD: -1.0000:   1%|          | 34/3000 [00:04<05:50,  8.47it/s]
Loss: 546.9293 | Mean rewards: 615.10 | JSD: -1.0000:   1%|          | 34/3000 [00:04<05:50,  8.47it/s]
Loss: 546.4354 | Mean rewards: 215.13 | JSD: -1.0000:   1%|          | 35/3000 [00:04<05:49,  8.47it/s]
Loss: 546.4354 | Mean rewards: 215.13 | JSD: -1.0000:   1%|          | 36/3000 [00:04<05:45,  8.57it/s]
Loss: 546.2445 | Mean rewards: 725.36 | JSD: -1.0000:   1%|          | 36/3000 [00:04<05:45,  8.57it/s]
Loss: 546.2445 | Mean rewards: 725.36 | JSD: -1.0000:   1%|          | 37/3000 [00:04<05:54,  8.35it/s]
Loss: 546.5743 | Mean rewards: 133.87 | JSD: -1.0000:   1%|          | 37/3000 [00:04<05:54,  8.35it/s]
Loss: 546.5743 | Mean rewards: 133.87 | JSD: -1.0000:   1%|▏         | 38/3000 [00:05<06:00,  8.22it/s]
Loss: 544.9857 | Mean rewards: 2957.10 | JSD: -1.0000:   1%|▏         | 38/3000 [00:05<06:00,  8.22it/s]
Loss: 544.9857 | Mean rewards: 2957.10 | JSD: -1.0000:   1%|▏         | 39/3000 [00:05<06:02,  8.16it/s]
Loss: 544.8432 | Mean rewards: 211.19 | JSD: -1.0000:   1%|▏         | 39/3000 [00:05<06:02,  8.16it/s] 
Loss: 544.8432 | Mean rewards: 211.19 | JSD: -1.0000:   1%|▏         | 40/3000 [00:05<06:10,  7.99it/s]
Loss: 544.6542 | Mean rewards: 758.02 | JSD: -1.0000:   1%|▏         | 40/3000 [00:05<06:10,  7.99it/s]
Loss: 544.6542 | Mean rewards: 758.02 | JSD: -1.0000:   1%|▏         | 41/3000 [00:05<06:26,  7.65it/s]
Loss: 543.6367 | Mean rewards: 849.63 | JSD: -1.0000:   1%|▏         | 41/3000 [00:05<06:26,  7.65it/s]
Loss: 543.6367 | Mean rewards: 849.63 | JSD: -1.0000:   1%|▏         | 42/3000 [00:05<06:20,  7.78it/s]
Loss: 543.6978 | Mean rewards: 484.40 | JSD: -1.0000:   1%|▏         | 42/3000 [00:05<06:20,  7.78it/s]
Loss: 543.6978 | Mean rewards: 484.40 | JSD: -1.0000:   1%|▏         | 43/3000 [00:05<05:58,  8.26it/s]
Loss: 543.0965 | Mean rewards: 566.11 | JSD: -1.0000:   1%|▏         | 43/3000 [00:05<05:58,  8.26it/s]
Loss: 543.0965 | Mean rewards: 566.11 | JSD: -1.0000:   1%|▏         | 44/3000 [00:05<06:00,  8.21it/s]
Loss: 542.2479 | Mean rewards: 598.36 | JSD: -1.0000:   1%|▏         | 44/3000 [00:05<06:00,  8.21it/s]
Loss: 542.2479 | Mean rewards: 598.36 | JSD: -1.0000:   2%|▏         | 45/3000 [00:05<06:20,  7.77it/s]
Loss: 542.0883 | Mean rewards: 478.79 | JSD: -1.0000:   2%|▏         | 45/3000 [00:05<06:20,  7.77it/s]
Loss: 541.0290 | Mean rewards: 570.06 | JSD: -1.0000:   2%|▏         | 46/3000 [00:06<06:19,  7.77it/s]
Loss: 541.0290 | Mean rewards: 570.06 | JSD: -1.0000:   2%|▏         | 47/3000 [00:06<05:21,  9.19it/s]
Loss: 541.0822 | Mean rewards: 171.49 | JSD: -1.0000:   2%|▏         | 47/3000 [00:06<05:21,  9.19it/s]
Loss: 539.9407 | Mean rewards: 1157.92 | JSD: -1.0000:   2%|▏         | 48/3000 [00:06<05:21,  9.19it/s]
Loss: 539.9407 | Mean rewards: 1157.92 | JSD: -1.0000:   2%|▏         | 49/3000 [00:06<04:48, 10.21it/s]
Loss: 540.4225 | Mean rewards: 155.18 | JSD: -1.0000:   2%|▏         | 49/3000 [00:06<04:48, 10.21it/s] 
Loss: 539.1409 | Mean rewards: 680.33 | JSD: -1.0000:   2%|▏         | 50/3000 [00:06<04:48, 10.21it/s]
Loss: 539.1409 | Mean rewards: 680.33 | JSD: -1.0000:   2%|▏         | 51/3000 [00:06<04:36, 10.67it/s]
Loss: 539.2193 | Mean rewards: 451.83 | JSD: -1.0000:   2%|▏         | 51/3000 [00:06<04:36, 10.67it/s]
Loss: 538.5514 | Mean rewards: 571.37 | JSD: -1.0000:   2%|▏         | 52/3000 [00:06<04:36, 10.67it/s]
