state	exact	double	hex
spawned	1/28	0.10532904980883244	0x1.af6d8383f68a3p-4
refined	1/14	0.14086253396643547	0x1.207c8944f0b35p-3
strengthened	3/28	0.31240050666821867	0x1.3fe5eb1d9347fp-2
addressed	1/7	0.09555013225308848	0x1.875f93527ce2ep-4
falsified	5/28	0.07447381184188043	0x1.310b73a44f312p-4
foreclosed	3/14	0.1660549156527121	0x1.541499808c28bp-3
reopened	1/4	0.10532904980883244	0x1.af6d8383f68a3p-4
